Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
BDG001	BDG001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/BDG001_libmerged.trimmed.bam
BDG002	BDG002	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/BDG002_libmerged.trimmed.bam
BDG006	BDG006	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/BDG006_libmerged.trimmed.bam
BRW001	BRW001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/BRW001_libmerged.trimmed.bam
DSZ007	DSZ007	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/DSZ007_libmerged.trimmed.bam
DVT014	DVT014	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/DVT014_libmerged.trimmed.bam
DVT016	DVT016	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/DVT016_libmerged.trimmed.bam
DVT017	DVT017	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/DVT017_libmerged.trimmed.bam
DVT022	DVT022	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/DVT022_libmerged.trimmed.bam
ENG001	ENG001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/ENG001_libmerged.trimmed.bam
GAB001	GAB001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/GAB001_libmerged.trimmed.bam
HOC005	HOC005	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/HOC005_libmerged.trimmed.bam
HOC007	HOC007	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/HOC007_libmerged.trimmed.bam
KCZ001	KCZ001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ001_libmerged.trimmed.bam
KCZ003	KCZ003	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ003_libmerged.trimmed.bam
KCZ004	KCZ004	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ004_libmerged.trimmed.bam
KCZ006	KCZ006	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ006_libmerged.trimmed.bam
KCZ008	KCZ008	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ008_libmerged.trimmed.bam
KCZ009	KCZ009	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ009_libmerged.trimmed.bam
KCZ010	KCZ010	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ010_libmerged.trimmed.bam
KCZ011	KCZ011	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ011_libmerged.trimmed.bam
KCZ012	KCZ012	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ012_libmerged.trimmed.bam
KCZ016	KCZ016	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KCZ016_libmerged.trimmed.bam
KMP001	KMP001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KMP001_libmerged.trimmed.bam
KZR002	KZR002	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/KZR002_libmerged.trimmed.bam
LSS003	LSS003	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/LSS003_libmerged.trimmed.bam
LSS004	LSS004	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/LSS004_libmerged.trimmed.bam
NCP001	NCP001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/NCP001_libmerged.trimmed.bam
NCP002	NCP002	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/NCP002_libmerged.trimmed.bam
NDS001	NDS001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/NDS001_libmerged.trimmed.bam
OTL001	OTL001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/OTL001_libmerged.trimmed.bam
RTT001	RTT001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/RTT001_libmerged.trimmed.bam
SLN001	SLN001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/SLN001_libmerged.trimmed.bam
SLN002	SLN002	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/SLN002_libmerged.trimmed.bam
SLN003	SLN003	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/SLN003_libmerged.trimmed.bam
SLN004	SLN004	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/SLN004_libmerged.trimmed.bam
STY002	STY002	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/STY002_libmerged.trimmed.bam
STY004	STY004	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/STY004_libmerged.trimmed.bam
TDN001	TDN001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/TDN001_libmerged.trimmed.bam
TDN002	TDN002	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/TDN002_libmerged.trimmed.bam
TPC001	TPC001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/TPC001_libmerged.trimmed.bam
TPC003	TPC003	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/TPC003_libmerged.trimmed.bam
TPC019	TPC019	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/TPC019_libmerged.trimmed.bam
URB001	URB001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/URB001_libmerged.trimmed.bam
VKP001	VKP001	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_enrichedall/results/trimmed_bam/VKP001_libmerged.trimmed.bam
