country	sample	age	period	type	longitude	latitude	data	color
GB	BDG001_TE	1994	1500-3000	ancient	0.063	50.8404	enrich	black
GB	BDG002_TE	1744	1500-3000	ancient	0.063	50.8404	enrich	NA
GB	BDG006_TE	1881	1500-3000	ancient	0.063	50.8404	enrich	black
EURe1_PL	BRW001_TE	1873	1500-3000	ancient	19.551177	50.4643	enrich	grey
EURe1_PL	DSZ007_TE	460	100-1500	ancient	19.764136	50.161219	enrich	NA
EURs2_BU	DVT014_TE	16047	more_than_10k	ancient	24.885451	43.23364	enrich	grey
EURs2_BU	DVT016_TE	16007	more_than_10k	ancient	24.885451	43.23364	enrich	grey
EURs2_BU	DVT017_TE	16649	more_than_10k	ancient	24.885451	43.23364	enrich	NA
EURs2_BU	DVT022_TE	23756	more_than_20k	ancient	24.885451	43.23364	enrich	grey
EURw2_DE	ENG001_TE	1866	1500-3000	ancient	11.7728	48.8548	enrich	black
EURw1_FR	GAB001_TE	2000	1500-3000	ancient	1.346322	49.57791	enrich	black
EURw2_DE	HOC005_TE	6262	5000-6000	ancient	9.001	48.8859	enrich	black
EURw2_DE	HOC007_TE	6000	5000-6000	ancient	9.001	48.8859	enrich	black
EURe1_PL	KCZ001_TE	679	100-1500	ancient	19.158424	50.793706	enrich	NA
EURe1_PL	KCZ003_TE	428	100-1500	ancient	19.158424	50.793706	enrich	grey
EURe1_PL	KCZ004_TE	668	100-1500	ancient	19.158424	50.793706	enrich	grey
EURe1_PL	KCZ006_TE	514	100-1500	ancient	19.158424	50.793706	enrich	grey
EURe1_PL	KCZ008_TE	476	100-1500	ancient	19.158424	50.793706	enrich	grey
EURe1_PL	KCZ009_TE	909	100-1500	ancient	19.158424	50.793706	enrich	grey
EURe1_PL	KCZ010_TE	425	100-1500	ancient	19.158424	50.793706	enrich	grey
EURe1_PL	KCZ011_TE	658	100-1500	ancient	19.158424	50.793706	enrich	grey
EURe1_PL	KCZ012_TE	724	100-1500	ancient	19.158424	50.793706	enrich	grey
EURe1_PL	KCZ016_TE	528	100-1500	ancient	19.158424	50.793706	enrich	grey
EURw4_NL	KMP001_TE	661	100-1500	ancient	5.9145	52.558	enrich	grey
EURs2_BU	KZR002_TE	19540	more_than_20k	ancient	22.702718	43.651859	enrich	grey
EURw1_FR	LSS003_TE	2000	1500-3000	ancient	3.908588	43.566198	enrich	grey
EURw1_FR	LSS004_TE	2000	1500-3000	ancient	3.908588	43.566198	enrich	black
EURs2_BU	NCP001_TE	1545	1500-3000	ancient	25.610631	43.219839	enrich	grey
EURs2_BU	NCP002_TE	1824	1500-3000	ancient	25.610631	43.219839	enrich	grey
EURe1_PL	NDS001_TE	495	100-1500	ancient	19.774492	50.193809	enrich	grey
RUS	OTL001_TE	2000	1500-3000	ancient	49.061816	55.877009	enrich	grey
EURw2_DE	RTT001_TE	1983	1500-3000	ancient	8.62719	48.16783	enrich	black
SPA	SLN001_TE	1178	100-1500	ancient	1.672744	41.209305	enrich	black
SPA	SLN002_TE	1177	100-1500	ancient	1.672744	41.209305	enrich	black
SPA	SLN003_TE	1177	100-1500	ancient	1.672744	41.209305	enrich	black
SPA	SLN004_TE	1179	100-1500	ancient	1.672744	41.209305	enrich	black
RUS	STY002_TE	2000	1500-3000	ancient	32.292774	60.001909	enrich	grey
RUS	STY004_TE	2000	1500-3000	ancient	32.292774	60.001909	enrich	grey
EURw3_BE	TDN001_TE	281	100-1500	ancient	5.193576	49.968177	enrich	black
EURw3_BE	TDN002_TE	910	100-1500	ancient	5.193576	49.968177	enrich	black
EURs2_BU	TPC001_TE	293	100-1500	ancient	26.503967	43.670692	enrich	grey
EURs2_BU	TPC003_TE	284	100-1500	ancient	26.503967	43.670692	enrich	grey
EURs2_BU	TPC019_TE	100	100-1500	ancient	26.503967	43.670692	enrich	grey
