Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
DVT014	DVT014_UDG	1	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT014_UDG_EKDL230005330-1A_HNFMMDSX5_L1_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT014_UDG_EKDL230005330-1A_HNFMMDSX5_L1_2.fq.gz	NA	
DVT014	DVT014_UDG	2	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT014_UDG_EKDL230005330-1A_HNFMMDSX5_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT014_UDG_EKDL230005330-1A_HNFMMDSX5_L2_2.fq.gz	NA	
DVT014	DVT014_UDG	3	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT014_UDG_EKDL230005330-1A_HNFMMDSX5_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT014_UDG_EKDL230005330-1A_HNFMMDSX5_L3_2.fq.gz	NA	
DVT017	DVT017_UDG	1	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT017_UDG_EKDL230005330-1A_HNFMMDSX5_L1_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT017_UDG_EKDL230005330-1A_HNFMMDSX5_L1_2.fq.gz	NA	
DVT017	DVT017_UDG	2	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT017_UDG_EKDL230005330-1A_HNFMMDSX5_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT017_UDG_EKDL230005330-1A_HNFMMDSX5_L2_2.fq.gz	NA	
DVT017	DVT017_UDG	3	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT017_UDG_EKDL230005330-1A_HNFMMDSX5_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/DVT017_UDG_EKDL230005330-1A_HNFMMDSX5_L3_2.fq.gz	NA	
KCZ003	KCZ003_UDG	4	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/KCZ003_UDG_EKDL230005331-1A_HNFMMDSX5_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/KCZ003_UDG_EKDL230005331-1A_HNFMMDSX5_L4_2.fq.gz	NA	
KCZ012	KCZ012_UDG	1	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/KCZ012_UDG_EKDL230005330-1A_HNFMMDSX5_L1_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/KCZ012_UDG_EKDL230005330-1A_HNFMMDSX5_L1_2.fq.gz	NA	
KCZ012	KCZ012_UDG	2	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/KCZ012_UDG_EKDL230005330-1A_HNFMMDSX5_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/KCZ012_UDG_EKDL230005330-1A_HNFMMDSX5_L2_2.fq.gz	NA	
KCZ012	KCZ012_UDG	3	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/KCZ012_UDG_EKDL230005330-1A_HNFMMDSX5_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata/KCZ012_UDG_EKDL230005330-1A_HNFMMDSX5_L3_2.fq.gz	NA	
