Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
BRW001	BRW001_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/BRW001_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/BRW001_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
BRW001	BRW001_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/BRW001_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/BRW001_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
BRW001	BRW001_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/BRW001_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/BRW001_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
DVT014	DVT014_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT014_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT014_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
DVT014	DVT014_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT014_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT014_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
DVT014	DVT014_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT014_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT014_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
DVT016	DVT016_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT016_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT016_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
DVT016	DVT016_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT016_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT016_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
DVT016	DVT016_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT016_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT016_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
DVT022	DVT022_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT022_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT022_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
DVT022	DVT022_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT022_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT022_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
DVT022	DVT022_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT022_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/DVT022_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
HOC005	HOC005_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC005_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC005_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
HOC005	HOC005_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC005_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC005_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
HOC005	HOC005_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC005_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC005_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
HOC007	HOC007_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC007_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC007_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
HOC007	HOC007_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC007_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC007_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
HOC007	HOC007_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC007_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/HOC007_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
KZR002	KZR002_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/KZR002_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/KZR002_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
KZR002	KZR002_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/KZR002_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/KZR002_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
KZR002	KZR002_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/KZR002_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/KZR002_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
NCP001	NCP001_UDG	1	2	PE	Corvus	single	half	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/NCP001_UDG_FKDL230366430-1A_H2C5VDSX7_L1_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/NCP001_UDG_FKDL230366430-1A_H2C5VDSX7_L1_2.fq.gz	NA
NCP002	NCP002_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/NCP002_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/NCP002_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
NCP002	NCP002_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/NCP002_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/NCP002_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
NCP002	NCP002_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/NCP002_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/NCP002_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
SLN001	SLN001_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/SLN001_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/SLN001_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
SLN001	SLN001_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/SLN001_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/SLN001_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
SLN001	SLN001_WGS	4	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/SLN001_WGS_FKDL230366431-1A_H2C5VDSX7_L4_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/SLN001_WGS_FKDL230366431-1A_H2C5VDSX7_L4_2.fq.gz	NA
VKP001	VKP001_WGS	2	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/VKP001_WGS_FKDL230366431-1A_H2C5VDSX7_L2_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/VKP001_WGS_FKDL230366431-1A_H2C5VDSX7_L2_2.fq.gz	NA
VKP001	VKP001_WGS	3	2	PE	Corvus	single	none	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/VKP001_WGS_FKDL230366431-1A_H2C5VDSX7_L3_1.fq.gz	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/rawdata_dec23/wga/VKP001_WGS_FKDL230366431-1A_H2C5VDSX7_L3_2.fq.gz	NA
