Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
BRW001	BRW001_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/BRW001_WGS.trimmed.bam
DVT014	DVT014_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/DVT014_WGS.trimmed.bam
DVT016	DVT016_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/DVT016_WGS.trimmed.bam
DVT022	DVT022_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/DVT022_WGS.trimmed.bam
HOC005	HOC005_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/HOC005_WGS.trimmed.bam
HOC007	HOC007_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/HOC007_WGS.trimmed.bam
KZR002	KZR002_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/KZR002_WGS.trimmed.bam
NCP002	NCP002_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/NCP002_WGS.trimmed.bam
SLN001	SLN001_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/SLN001_WGS.trimmed.bam
VKP001	VKP001_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/VKP001_WGS.trimmed.bam
WMP005	WMP005_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/WMP005_WGS.trimmed.bam
WMP006	WMP006_WGS	2	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/WMP006_WGS.trimmed.bam
DVT014	DVT014_UDG	1	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/DVT014_UDG.trimmed.bam
DVT017	DVT017_UDG	1	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/DVT017_UDG.trimmed.bam
KCZ003	KCZ003_UDG	1	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/KCZ003_UDG.trimmed.bam	
KCZ012	KCZ012_UDG	1	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/KCZ012_UDG.trimmed.bam	
NCP001	NCP001_UDG	1	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/NCP001_UDG.trimmed.bam
TDN002	TDN002_UDG	1	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/TDN002_UDG.trimmed.bam	
WMP006	WMP006_UDG	1	2	SE	Corvus	single	half	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_wgsall_02/results/trimmed_bam/WMP006_UDG.trimmed.bam	
