Accession,Start,Stop,Gene_symbol,Strand,NCBI_Gene_ID,Name
NW_010959954.1,1002706,1015466,LOC109146061,minus,109146061,
NW_010959954.1,1025826,1030436,KCNJ2,minus,104695996,
NW_010959954.1,1034239,1038527,LOC109146062,minus,109146062,
NW_010959954.1,1048761,1069315,KCNJ16,minus,104695997,
NW_010959954.1,1214742,1252857,MAP2K6,minus,104696025,
NW_010959954.1,1249703,1252611,LOC109146067,minus,109146067,
NW_010959954.1,1284887,1312311,ABCA5,plus,104695999,
NW_010959954.1,1317978,1343146,LOC104696000,plus,104696000,
NW_010959954.1,1347023,1368567,LOC104696026,plus,104696026,
NW_010959954.1,1370598,1374500,LOC109146066,plus,109146066,
NW_010959954.1,1375502,1397385,LOC109146072,minus,109146072,
NW_010959954.1,1399823,1406554,LOC109146071,minus,109146071,
NW_010959954.1,1407744,1418877,FAM20A,plus,104696027,
NW_010959954.1,1421225,1436862,PRKAR1A,minus,104696002,
NW_010959954.1,1449004,1467403,WIPI1,plus,104696028,
NW_010959954.1,1468719,1488559,ARSG,minus,104696003,
NW_010959954.1,1470137,1471592,LOC109146058,plus,109146058,
NW_010959954.1,1495142,1502599,SLC16A6,plus,104696004,
NW_010959954.1,1517413,1544675,GNA13,minus,104696029,
NW_010959954.1,1554085,1580887,RGS9,plus,104696005,
NW_010959954.1,1690720,1714472,AXIN2,minus,104696031,
NW_010959954.1,1741625,1898827,CEP112,minus,104696007,
NW_010959954.1,1903978,1910920,APOH,minus,104696008,
NW_010959954.1,1924032,2078808,PRKCA,plus,104696032,
NW_010959954.1,2087503,2101982,CACNG5,plus,104696009,
NW_010959954.1,2166061,2178201,CACNG4,plus,104696033,
NW_010959954.1,2182215,2192187,CACNG1,plus,104696010,
NW_010959954.1,2198496,2267366,HELZ,minus,104696011,
NW_010959954.1,2292048,2298631,PSMD12,minus,104696034,
NW_010959954.1,2305383,2386123,PITPNC1,plus,104696013,
NW_010959954.1,2389175,2399942,NOL11,plus,104696035,
NW_010959954.1,2403193,2457178,BPTF,plus,104696014,
NW_010959954.1,2450757,2458625,LOC109146068,minus,109146068,
NW_010959954.1,2468865,2504192,LOC104696015,minus,104696015,
NW_010959954.1,2475100,2482055,LOC109146070,plus,109146070,
NW_010959761.1,14327,24025,CUNH17orf58,minus,104694234,
NW_010959761.1,32061,38189,KPNA2,plus,104694235,
NW_010959761.1,64199,123683,SMURF2,plus,104694238,
NW_010959761.1,122400,142223,CEP95,minus,104694237,
NW_010959761.1,144702,149919,DDX5,plus,109143183,
NW_010959761.1,149356,151617,LOC104694236,plus,104694236,
NW_010959761.1,154105,159778,POLG2,plus,104694241,
NW_010959761.1,161890,166356,MILR1,minus,104694240,
NW_010959761.1,173568,205327,PECAM1,plus,104694242,
NW_010959761.1,223915,262694,TEX2,plus,104694244,
NW_010959761.1,265197,307129,ERN1,plus,104694246,
NW_010959761.1,318295,328643,ZNF207,minus,104694248,
NW_010959761.1,331399,338028,CUNH17orf75,plus,104694249,
NW_010959761.1,339291,408751,RHBDL3,minus,104694250,
NW_010959761.1,416555,442497,RHOT1,minus,104694251,
NW_010959761.1,443259,449556,RNF135,minus,104694254,
NW_010959761.1,450852,458053,ADAP2,minus,104694253,
NW_010959761.1,460106,474918,ATAD5,minus,104694255,
NW_010959761.1,476865,490327,CRLF3,plus,104694257,
NW_010959761.1,492362,515799,SUZ12,minus,104694256,
NW_010959761.1,516968,524785,LOC109145703,plus,109145703,
NW_010959761.1,527897,538126,UTP6,plus,104694351,
NW_010959761.1,538232,560088,COPRS,plus,104694258,
NW_010959761.1,668918,706093,LOC109145710,plus,109145710,
NW_010959761.1,680005,715838,LOC109145711,minus,109145711,
NW_010959761.1,734821,802979,RAB11FIP4,minus,104694352,
NW_010959761.1,860845,867380,LOC104694259,plus,104694259,
NW_010959761.1,871383,882755,SCPEP1,minus,104694260,
NW_010959761.1,882723,890244,COIL,plus,104694261,
NW_010959761.1,892414,901445,TRIM25,plus,104694263,
NW_010959761.1,902987,908614,LOC104694264,minus,104694264,
NW_010959761.1,912555,927727,DGKE,minus,104694353,
NW_010959761.1,928489,935576,CUNH17orf67,plus,104694265,
NW_010959761.1,996113,1002158,LOC109145702,minus,109145702,
